Item Type;Publication Year;Publication Title;Author;Title;Date;Url;ISBN;ISSN;DOI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Google Online Security Blog;Tetali, Sai Deep;Keeping 2 billion Android devices safe with machine learning;24/05/2018;https://security.googleblog.com/2018/05/keeping-2-billion-android-devices-safe.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Google Research;Wexler, James;The What-If Tool: Code-Free Probing of Machine Learning Models;11/09/2018;https://research.google/blog/the-what-if-tool-code-free-probing-of-machine-learning-models/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Google The Keyword;Lewin, Sarah;Bringing online safety education programs to UK schools;27/02/2018;https://blog.google/technology/families/bringing-online-safety-education-programs-uk-schools/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Google The Keyword;Lieber, David;Updating government access laws for the digital age;23/07/2018;https://blog.google/outreach-initiatives/public-policy/updating-government-access-laws-digital-age/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Google The Keyword;Lin, Jennifer;Building on our cloud security leadership to help keep businesses protected;25/07/2018;https://blog.google/products/google-cloud/building-on-our-cloud-security-leadership-to-help-keep-businesses-protected/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Google The Keyword;Phillips, Eve;Managing and securing cloud workers with new updates to Chrome Enterprise;19/07/2018;https://blog.google/products/chrome-enterprise/managing-and-securing-cloud-workers-with-new-updates-to-chrome-enterprise/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Google The Keyword;Pichai, Sundar;Solving problems with AI for everyone;08/05/2018;https://blog.google/technology/ai/io18-overview/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Google The Keyword;"Todorovic, Nikola; Chaudhuri, abhi";Using AI to help organizations detect and report child sexual abuse material online;03/09/2018;https://blog.google/around-the-globe/google-europe/using-ai-help-organizations-detect-and-report-child-sexual-abuse-material-online/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Google The Keyword;Walker, Kent;An update on state-sponsored activity;23/08/2018;https://blog.google/technology/safety-security/update-state-sponsored-activity/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Google The Keyword;Walker, Kent;Our testimony to the U.S. Senate Select Committee on Intelligence;04/09/2018;https://blog.google/outreach-initiatives/public-policy/our-testimony-us-senate-select-committee-intelligence/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Hashed Out by The SSL Store™;Nohe, Patrick;Final Warning: Last chance to replace Symantec SSL certificates;09/10/2018;https://www.thesslstore.com/blog/final-warning-last-chance-to-replace-symantec-ssl-certificates/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
